COC(=O)O	000	methyl hydrogen carbonate
CC(C[NH2+]C(CCC(C(=O)O)[NH3+])CC1C(C(C(O1)n2cnc3c2ncnc3N)O)O)O	76L	[(2~{s},5~{r})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-[(2~{r})-2-oxidanylpropyl]azanium
CC(C)C[NH2+]C(CCC(C(=O)O)[NH3+])CC1C(C(C(O1)n2cnc3c2ncnc3N)O)O	76M	[(2~{s},5~{r})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-(2-methylpropyl)azanium
c1ccc(cc1)C[NH2+]C(CCC(C(=O)O)[NH3+])CC2C(C(C(O2)n3cnc4c3ncnc4N)O)O	76O	[(2~{r},5~{s})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-(phenylmethyl)azanium
CN(C)C1CCC(CC1)Oc2c3cc(ccc3ncn2)[N+](=O)[O-]	76P	~{n},~{n}-dimethyl-4-(6-nitroquinazolin-4-yl)oxy-cyclohexan-1-amine
Cc1cc(cc(c1)c2cnc3ccc(cc3c2CCCCNC)c4cc(cnc4)O)C	76Q	5-[3-(3,5-dimethylphenyl)-4-[4-(methylamino)butyl]quinolin-6-yl]pyridin-3-ol
Cc1c2n3c(c1CCC(=O)O)C=C4C(=C(C5=[N]4[Mn]36[N]7=C(C=C8N6C(=C5)C(=C8C)CCC(=O)O)C(=C(C7=C2)CCC(=O)O)C)CCC(=O)O)C	76R	[3,3',3'',3'''-(3,8,13,17-tetramethylporphyrin-2,7,12,18-tetrayl-kappa~4~n~21~,n~22~,n~23~,n~24~)tetra(propanoato)(2-)]manganese
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCc3[nH]c(nn3)c4ccncc4)F	76S	5-(4-fluorophenyl)-2,3-dihydroxy-n-[2-(3-pyridin-4-yl-1h-1,2,4-triazol-5-yl)ethyl]benzamide
c1cc(cc(c1)CNC(=O)c2cc(cc(c2O)O)c3ccc(cc3)F)CNc4ccc5c(c4)cn[nH]5	76T	5-(4-fluorophenyl)-2,3-dihydroxy-n-[[3-[(1h-indazol-5-ylamino)methyl]phenyl]methyl]benzamide
Cc1c(c(c(cn1)COP(=O)(O)O)CNC(CCC(=O)O)CF)O	76U	(4s)-5-fluoro-4-[({3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}methyl)amino]pentanoic acid
CCC(C)C(C(=O)NC(C(C)CC)C(=O)O)NC(=O)C1C(O1)C(=O)OCC	76V	n-{[(2s,3s)-3-(ethoxycarbonyl)oxiran-2-yl]carbonyl}-l-isoleucyl-l-isoleucine
c1cc(c(nc1)N)N	76X	pyridine-2,3-diamine
c1ccc(c(c1)Cn2cccc2C(=O)N)Cl	76Y	1-[(2-chlorophenyl)methyl]pyrrole-2-carboxamide
CC(C)(C#Cc1ccc2c(c1)-c3nc(cn3CCO2)C(=O)N)O	76Z	10-(3-methyl-3-oxidanyl-but-1-ynyl)-5,6-dihydroimidazo[1,2-d][1,4]benzoxazepine-2-carboxamide
c1ccc(c(c1)c2cc3c(c4cc(ccc4[nH]3)NC=O)c5c2C(=O)NC5=O)Cl	770	n-[4-(2-chlorophenyl)-1,3-dioxo-1,2,3,6-tetrahydropyrrolo[3,4-c]carbazol-9-yl]formamide
COc1cc(c(cc1OCc2ccccc2)NS(=O)(=O)C)CNc3ccc(cc3)C(=N)N	771	4-(4-benzyloxy-2-methanesulfonylamino-5-methoxy-benzylamino)-benzamidine
c1cc2ccc(nc2c(c1)OP(=O)(O)O)C#N	772	2-cyanoquinolin-8-yl dihydrogen phosphate
CCC1C2(C(C(C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OCC=Cc4cc5ccccc5nc4)C)C)NC(=O)O2)C	773	cethromycin
c1cc(nc-2c1OCCc3c2scc3)C(=O)N	774	6,7-dihydrothieno[4,5]oxepino[1,2-~{c}]pyridine-2-carboxamide
CCCC1=CC(=O)n2c(c(c(n2)NCc3ccc(cc3)Cl)C#N)N1	775	2-[(4-chlorobenzyl)amino]-7-oxo-5-propyl-4,7-dihydropyrazolo[1,5-a]pyrimidine-3-carbonitrile
CCNP(=O)(O)OCC1C(C(C(O1)n2cnc3c2NC(=NC3=O)N)O)O	777	[(2~{r},3~{s},4~{r},5~{r})-5-(2-azanyl-6-oxidanylidene-3~{h}-purin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-~{n}-ethyl-phosphonamidic acid
c1cc(cc(c1)Cl)N2CCN(CC2=O)Cc3cncn3Cc4ccc(cc4)C#N	778	4-[(5-{[4-(3-chlorophenyl)-3-oxopiperazin-1-yl]methyl}-1h-imidazol-1-yl)methyl]benzonitrile
CN1C(=O)C(NC1=N)(CCC2CCCCC2)CC3CCCC(C3)NC(=O)Nc4ccccc4	779	1-[(1r,3s)-3-{[(2e,4r)-4-(2-cyclohexylethyl)-2-imino-1-methyl-5-oxoimidazolidin-4-yl]methyl}cyclohexyl]-3-phenylurea
CC(CN(C)C)Oc1cncc(n1)NC(=O)Nc2cc(ccc2OC)Cl	77A	1-(5-chloro-2-methoxyphenyl)-3-{6-[2-(dimethylamino)-1-methylethoxy]pyrazin-2-yl}urea
CCC(C)C(C(=O)N1CCCC1C(=O)OCc2ccccc2)NC(=O)C3C(O3)C(=O)NCc4ccccc4	77B	benzyl n-({(2s,3s)-3-[(benzylamino)carbonyl]oxiran-2-yl}carbonyl)-l-isoleucyl-l-prolinate
c1cc(cnc1)N2C(=O)c3c(ccc(c3N=C2C(C4CC4)Nc5c(c(nc(n5)N)N)C#N)F)Cl	77C	2,4-diamino-6-{[(s)-[5-chloro-8-fluoro-4-oxo-3-(pyridin-3-yl)-3,4-dihydroquinazolin-2-yl](cyclopropyl)methyl]amino}pyrimidine-5-carbonitrile
CC1(Cc2c(c(sc2C(=O)NC1)Nc3ccc(cc3F)I)C(=O)NC4CCCNC4)C	77D	2-[(2-fluoro-4-iodophenyl)amino]-5,5-dimethyl-8-oxo-n-[(3r)-piperidin-3-yl]-5,6,7,8-tetrahydro-4h-thieno[2,3-c]azepine-3-carboxamide
Cc1c(c(c(cn1)COP(=O)(O)O)CCC(CCC(=O)O)N)O	77E	(4r)-4-amino-6-{3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4-yl}hexanoic acid
COc1ccc(cc1)S(=O)(=O)N(CC2CCCCC2)CC(C(Cc3ccccc3)NC(=O)c4cccc(c4)O)O	77F	n-[(2s,3r)-4-{(cyclohexylmethyl)[(4-methoxyphenyl)sulfonyl]amino}-3-hydroxy-1-phenylbutan-2-yl]-3-hydroxybenzamide
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCCCCn3cnc4c3ncnc4N)F	77G	n-[5-(6-aminopurin-9-yl)pentyl]-5-(4-fluorophenyl)-2,3-dihydroxybenzamide
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCCCCn3cnc4c3nc(nc4)N)F	77H	n-[5-(2-aminopurin-9-yl)pentyl]-5-(4-fluorophenyl)-2,3-dihydroxybenzamide
c1ccc(cc1)C2=CC(=O)NC(=N2)SCCC(=O)NO	77J	n-hydroxy-3-[(6-oxo-4-phenyl-1,6-dihydropyrimidin-2-yl)sulfanyl]propanamide
Cn1cc(nc1)CNC(=O)c2cc(cc(c2O)O)c3ccc(cc3)F	77K	5-(4-fluorophenyl)-2,3-dihydroxy-n-[(1-methylimidazol-4-yl)methyl]benzamide
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCO)F	77L	5-(4-fluorophenyl)-2,3-dihydroxy-n-(2-hydroxyethyl)benzamide
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCSCC(=O)c3ccc(c(c3)O)O)F	77M	n-[2-[2-(3,4-dihydroxyphenyl)-2-oxoethyl]sulfanylethyl]-5-(4-fluorophenyl)-2,3-dihydroxybenzamide
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCOCCn3cnc4c3ncnc4N)F	77N	n-[2-[2-(6-aminopurin-9-yl)ethoxy]ethyl]-5-(4-fluorophenyl)-2,3-dihydroxybenzamide
c1cc(oc1)CNc2cncc(n2)Cl	77O	6-chloro-n-[(furan-2-yl)methyl]pyrazin-2-amine
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCNC(=O)c3cc(ncn3)O)F	77P	n-[2-[[5-(4-fluorophenyl)-2,3-dihydroxybenzoyl]amino]ethyl]-6-hydroxypyrimidine-4-carboxamide
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCCCCn3ccc4c3ccnc4)F	77Q	5-(4-fluorophenyl)-2,3-dihydroxy-n-(5-pyrrolo[3,2-c]pyridin-1-ylpentyl)benzamide
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCCCCn3ccnc3)F	77R	5-(4-fluorophenyl)-2,3-dihydroxy-n-(5-imidazol-1-ylpentyl)benzamide
c1ccc(cc1)Cc2nc([nH]n2)CCNC(=O)c3cc(cc(c3O)O)c4ccc(cc4)F	77S	n-[2-(5-benzyl-1h-1,2,4-triazol-3-yl)ethyl]-5-(4-fluorophenyl)-2,3-dihydroxybenzamide
Cc1c(ccc(c1F)C#N)N2CCC(C2C)(C)O	77T	2-fluoro-4-[(2s,3s)-3-hydroxy-2,3-dimethylpyrrolidin-1-yl]-3-methylbenzonitrile
Cc1c(ccc(c1Cl)C#N)N2CCC(C2C)O	77U	2-chloro-4-[(2s,3s)-3-hydroxy-2-methylpyrrolidin-1-yl]-3-methylbenzonitrile
Cc1c2ccc(cc2[nH]n1)Nc3nc4ccoc4c(n3)NC5CC5	77V	n~4~-cyclopropyl-n~2~-(3-methyl-1h-indazol-6-yl)furo[3,2-d]pyrimidine-2,4-diamine
CC1(c2ccc(cc2CCN1c3ccc(cc3)F)O)c4ccc(cc4)C=CC(=O)O	77W	(2e)-3-{4-[(1r)-2-(4-fluorophenyl)-6-hydroxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-1-yl]phenyl}prop-2-enoic acid
CCC(=O)N1CCc2c(c(n[nH]2)c3ccccc3)C1	77X	1-(3-phenyl-1,4,6,7-tetrahydropyrazolo[4,3-c]pyridin-5-yl)propan-1-one
c1ccc2c(c1)c(c[nH]2)CC(=O)NCC=CC3=CN(C(=O)NC3=O)C4CC(C(O4)COP(=O)(O)O)O	77Y	 5-(3-(2-(1h-indol-3-yl)acetamide-n-yl)-1-propen-1-yl)-2'-deoxyuridine
CC(C)CCN1c2ccccc2C(=O)C(C1=O)C3Nc4ccc(cc4S(=O)(=O)N3)OCC(=O)N	77Z	2-({(3r)-3-[(3s)-1-(3-methylbutyl)-2,4-dioxo-1,2,3,4-tetrahydroquinolin-3-yl]-1,1-dioxido-3,4-dihydro-2h-1,2,4-benzothiadiazin-7-yl}oxy)acetamide
c1ccc(cc1)c2cccc(c2[O-])c3[nH]c4ccc(cc4n3)C(=[NH2+])N	780	3-{5-[amino(iminio)methyl]-1h-benzimidazol-2-yl}-1,1'-biphenyl-2-olate
CCC(=O)Nc1ccc2c(c1)cccc2O	781	n-(5-hydroxynaphthalen-2-yl)propanamide
CC(C)c1ccc(cc1)N2CCc3cc(ccc3C2(C)c4ccc(cc4)C=CC(=O)O)O	782	(2e)-3-(4-{(1r)-6-hydroxy-1-methyl-2-[4-(propan-2-yl)phenyl]-1,2,3,4-tetrahydroisoquinolin-1-yl}phenyl)prop-2-enoic acid
COc1cc(c(c(c1)c2cc3cc(ccc3[nH]2)C(=[NH2+])N)[O-])c4ccccc4	783	3-{5-[amino(iminio)methyl]-1h-indol-2-yl}-5-methoxy-1,1'-biphenyl-2-olate
C[N+](C)(C)CCCN1C(=O)C2C3CCCN3C(C2C1=O)c4ccc(cc4)C(=N)N	784	[amino (4-{(3as,4r,8as,8br)-1,3-dioxo-2- [3-(trimethylammonio) propyl]decahydropyrrolo[3,4-a] pyrrolizin-4-yl}phenyl) methylene]ammonium
c1cc2c(cc1C(=[NH2+])N)nc([nH]2)c3cc(ccc3[O-])OC(F)(F)F	785	2-{5-[amino(iminio)methyl]-1h-benzimidazol-2-yl}-4-(trifluoromethoxy)benzenolate
CC(c1ccc(cc1)n2cccn2)NC(=O)C(C(C(=O)N3CCCC3c4c(sc(n4)NC)S(=O)(=O)C)O)O	786	(2r,3r)-2,3-dihydroxy-4-{(2r)-2-[2-(methylamino)-5-(methylsulfonyl)-1,3-thiazol-4-yl]pyrrolidin-1-yl}-4-oxo-n-{(1r)-1-[4-(1h-pyrazol-1-yl)phenyl]ethyl}butanamide
c1ccc(cc1)C(P(=O)(O)O)P(=O)(O)O	787	(phenyl-phosphono-methyl)-phosphonic acid
Cc1c2nnc(n2c3cc(ccc3n1)C(=O)NCc4ccccc4)c5ccccc5	788	n-benzyl-4-methyl-1-phenyl[1,2,4]triazolo[4,3-a]quinoxaline-8-carboxamide
c1cc(ccc1C2=C(c3ccc(cc3C2=O)O)Br)O	789	3-bromo-6-hydroxy-2-(4-hydroxyphenyl)-1h-inden-1-one
CCC(C)C(C(=O)N1CCCC1C(=O)O)NC(=O)C2C(O2)C(=O)NCc3ccccc3	78A	n-({(2s,3s)-3-[(benzylamino)carbonyl]oxiran-2-yl}carbonyl)-l-isoleucyl-l-proline
CCOC(=O)c1ccc(cc1)CN	78B	ethyl 4-(aminomethyl)benzoate
c1ccc(cc1)C2CC(=O)N2C(=O)OC3CCCC3	78C	cyclopentyl 2-oxo-4-phenylazetidine-1-carboxylate
C1CC(NNC1)C(=O)OCCC=CC=CCCCCC(=O)O	78D	(6e,8e)-11-{[(3s)-hexahydropyridazine-3-carbonyl]oxy}undeca-6,8-dienoic acid
CC(C)C1C(=O)NC(C(=O)N2CCCC(N2)C(=O)OCCC=CC=CCCCCC(=O)N1)Cc3cccc(c3)O	78E	3-[(3-hydroxyphenyl)methyl]-6-(propan-2-yl)-19-oxa-1,4,7,25-tetraazabicyclo[19.3.1]pentacosa-13,15-diene-2,5,8,20-tetrone
CC(C(C=CC=CCCOC(=O)C1CCCNN1)OC)C(C(C)C(=O)O)OC	78F	(2r,3r,4s,5s,6e,8e)-11-{[(3s)-hexahydropyridazine-3-carbonyl]oxy}-3,5-dimethoxy-2,4-dimethylundeca-6,8-dienoic acid
COCN1C=C(C(=NC1=O)N)C[NH+](CCC2C(C(C(O2)n3cnc4c3ncnc4N)O)O)CCC(C(=O)O)N	78G	2-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]ethyl-[[4-azanyl-1-(methoxymethyl)-2-oxidanylidene-pyrimidin-5-yl]methyl]-[(3~{s})-3-azanyl-4-oxidanyl-4-oxidanylidene-butyl]azanium
c1cc(ccc1C(=O)O)NCC2=NC3=C(NC2)N=C(NC3=O)N	78H	7,8-dihydropteroate
CC1=Cc2ccnc(c2NC1=O)NC3CCNCC3OCC4CCCCC4	78J	(3r,4r)-3-(cyclohexylmethoxy)piperidin-4-yl]amino}-3-methyl-1,2-dihydro-1,7-naphthyridin-2-one
COCN1C=C(C(=NC1=O)N)CN(CCC(C(=O)O)N)CC2C(C(C(O2)n3cnc4c3ncnc4N)O)O	78K	(2~{r})-4-[[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methyl-[[4-azanyl-1-(methoxymethyl)-2-oxidanylidene-pyrimidin-5-yl]methyl]amino]-2-azanyl-butanoic acid
c1cc(sc1)C(=O)Nc2cc(c(cc2F)F)Nc3ccc4c(c3)CCc5ccc(cc5C4=O)C(=O)NCCN6CCOCC6	78L	~{n}-[2,4-bis(fluoranyl)-5-[[9-(2-morpholin-4-ylethylcarbamoyl)-11-oxidanylidene-5,6-dihydrodibenzo[1,2-~{d}:1',2'-~{f}][7]annulen-3-yl]amino]phenyl]thiophene-2-carboxamide
CCCCCCCC=CCCCCCC(=O)OCC(CO)O	78M	(2s)-2,3-dihydroxypropyl(7z)-pentadec-7-enoate
CCCCCCCC=CCCCCCC(=O)OCC(CO)O	78N	(2r)-2,3-dihydroxypropyl(7z)-pentadec-7-enoate
CC(c1cccc(c1)C=CCCC(C(C)C(=O)O)OC)OC(=O)C2CCCNN2	78O	(2r,3r,6e)-7-{3-[(1r)-1-{[(3s)-hexahydropyridazine-3-carbonyl]oxy}ethyl]phenyl}-3-methoxy-2-methylhept-6-enoic acid
CC1(CCCN1)c2[nH]c3c(cccc3n2)C(=O)N	78P	(2r)-2-(7-carbamoyl-1h-benzimidazol-2-yl)-2-methylpyrrolidinium
CC(C(CCC=Cc1cccc(c1)COC(=O)C2CCCNN2)OC)C(=O)O	78Q	(2r,3r,6e)-7-[3-({[(3s)-hexahydropyridazine-3-carbonyl]oxy}methyl)phenyl]-3-methoxy-2-methylhept-6-enoic acid
CC1C(CCC=Cc2cccc(c2)COC(=O)C3CCCN(N3)C(=O)C(NC(=O)C(NC1=O)C(C)C)Cc4cccc(c4)O)OC	78R	11-[(3-hydroxyphenyl)methyl]-18-methoxy-17-methyl-14-(propan-2-yl)-3-oxa-9,12,15,28-tetraazatricyclo[21.3.1.1~5,9~]octacosa-1(27),21,23,25-tetraene-4,10,13,16-tetrone
CC(=CCCC(=CCCC(=CCOC(COP(=O)(OC)OC)C(=O)O)C)C)C	78S	(2r)-3-dimethoxyphosphoryloxy-2-[(2z,6e)-3,7,11-trimethyldodeca-2,6,10-trienoxy]propanoic acid
OP(=O)[O-]	78T	oxidanylphosphinate
CC(c1c[nH]c2c1cccc2)C(C(=O)O)N	78U	(betas)-beta-methyl-l-tryptophan
COCN1C=CC(=NC1=O)NCCNCC2C(C(C(O2)n3cnc4c3ncnc4N)O)O	78V	4-[2-[[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methylamino]ethylamino]-1-(methoxymethyl)pyrimidin-2-one
CC(=O)CSC(=Nc1ccc(cc1)Cl)NC(=O)c2c(cccc2Cl)F	78W	2-oxidanylidenepropyl ~{n}-(2-chloranyl-6-fluoranyl-phenyl)carbonyl-~{n}'-(4-chlorophenyl)carbamimidothioate
CC1c2cccc(c2)C=CCCC(C(C(=O)NC(C(=O)NC(C(=O)N3CCCC(N3)C(=O)O1)Cc4cccc(c4)O)C(C)C)C)OC	78X	11-[(3-hydroxyphenyl)methyl]-18-methoxy-2,17-dimethyl-14-(propan-2-yl)-3-oxa-9,12,15,28-tetraazatricyclo[21.3.1.1~5,9~]octacosa-1(27),21,23,25-tetraene-4,10,13,16-tetrone
Cc1c(nn(n1)c2ccccc2)C(=O)N	78Y	5-methyl-2-phenyl-1,2,3-triazole-4-carboxamide
Cc1cc(n2c(n1)nc(n2)C(C)(F)F)Nc3ccc(nc3)C(F)(F)F	78Z	2-(1,1-difluoroethyl)-5-methyl-n-[6-(trifluoromethyl)pyridin-3-yl][1,2,4]triazolo[1,5-a]pyrimidin-7-amine
c1cc2c(c(c1)OP(=O)(O)O)NCCC2	790	1,2,3,4-tetrahydroquinolin-8-yl dihydrogen phosphate
c1ccc(cc1)C(C(=O)O)C(=O)O	791	2-phenylmalonic acid
CC#CCOc1ccc(cc1)S(=O)(=O)NC(Cc2c[nH]c3c2cc(cc3)C)C(=O)O	792	n-{[4-(but-2-yn-1-yloxy)phenyl]sulfonyl}-5-methyl-d-tryptophan
CC(c1ccccc1)NC2=C(C(=O)C2=O)Nc3ccncc3	793	3-{[(1r)-1-phenylethyl]amino}-4-(pyridin-4-ylamino)cyclobut-3-ene-1,2-dione
c1ccc2c(c1)cccc2N(c3ccccc3C(=O)O)C(=O)C(=O)O	794	2-[(carboxycarbonyl)(1-naphthyl)amino]benzoic acid
c1cc(cnc1)c2nc(cs2)C=O	795	2-(pyridin-3-yl)-1,3-thiazole-4-carbaldehyde
CNc1nccc(n1)c2ccc(s2)C(=O)NC(Cc3ccc(cc3Cl)Cl)CN	796	n-[(1s)-2-amino-1-(2,4-dichlorobenzyl)ethyl]-5-[2-(methylamino)pyrimidin-4-yl]thiophene-2-carboxamide
c1cc(cc2c1cc(cc2)O)c3c4ccc(cc4on3)O	797	3-(6-hydroxy-naphthalen-2-yl)-benzo[d]isooxazol-6-ol
c1cc(ccc1c2ccsc2)C(=O)c3ccc(cc3)OCC4CCCN4	798	{4-[(2r)-pyrrolidin-2-ylmethoxy]phenyl}(4-thiophen-3-ylphenyl)methanone
Cc1nc(n(n1)C(C)C)c2cn3c(n2)-c4ccc(cc4OCC3)c5cnn(c5)C(C)(C)C(=O)N	799	2-methyl-2-(4-{2-[3-methyl-1-(propan-2-yl)-1h-1,2,4-triazol-5-yl]-5,6-dihydroimidazo[1,2-d][1,4]benzoxazepin-9-yl}-1h-pyrazol-1-yl)propanamide
CS(=O)(=O)c1ccc(c2c1C(C(C2)(F)F)O)Oc3cc(cc(c3)F)C#N	79A	3-{[(1s)-2,2-difluoro-1-hydroxy-7-(methylsulfonyl)-2,3-dihydro-1h-inden-4-yl]oxy}-5-fluorobenzonitrile
c1ccc2c(c1)c(nc(n2)c3cccnc3)NC4Cc5ccc(cc5C4)C#CCCCCCCCCC(=O)O	79B	11-[(2~{r})-2-[(2-pyridin-3-ylquinazolin-4-yl)amino]-2,3-dihydro-1~{h}-inden-5-yl]undec-10-ynoic acid
CN1CCC(CC1)NC(=O)c2ccc(c(c2)OC)Nc3ncc4c(n3)N(CC(C(=O)N4C)(F)F)C5CCCC5	79C	4-[(9-cyclopentyl-7,7-difluoro-5-methyl-6-oxo-6,7,8,9-tetrahydro-5h-pyrimido[4,5-b][1,4]diazepin-2-yl)amino]-3-methoxy-n-(1-methylpiperidin-4-yl)benzamide
CCC1c2c(ncn2-c3cnc(nc3N1C4CCCC4)Nc5ccc(cc5OC)C(=O)NC6CCN(CC6)C)C#N	79D	4-{[(6r)-7-cyano-5-cyclopentyl-6-ethyl-5,6-dihydroimidazo[1,5-f]pteridin-3-yl]amino}-3-methoxy-n-(1-methylpiperidin-4-yl)benzamide
CC(C)CC(C(=O)N)NC(=O)C(CC(C)C)NP(=O)(CNC(=O)OCc1ccccc1)O	79E	jc96
CC(C)CC(C(=O)O)NC(=O)C(CO)NP(=O)(CNC(=O)OCc1ccccc1)O	79F	(2~{s})-4-methyl-2-[[(2~{s})-3-oxidanyl-2-[[oxidanyl(phenylmethoxycarbonylaminomethyl)phosphoryl]amino]propanoyl]amino]pentanoic acid
CC(C)CN(CC(C(Cc1ccccc1)NC(=O)c2ccc3c(c2)C(CCO3)N)O)S(=O)(=O)c4ccc(cc4)OC	79G	(4s)-4-amino-n-[(2s,3s)-3-hydroxy-4-{[(4-methoxyphenyl)sulfonyl](2-methylpropyl)amino}-1-phenylbutan-2-yl]-3,4-dihydro-2h-chromene-6-carboxamide
CC(C)C1C(=Nc2c(cnn2C1=O)C#N)c3cnn(c3)CCN(C)C	79H	5-[1-[2-(dimethylamino)ethyl]pyrazol-4-yl]-7-oxidanylidene-6-propan-2-yl-6~{h}-pyrazolo[1,5-a]pyrimidine-3-carbonitrile
CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)OC(=O)C	79J	4-o-acetyl-5-acetamido-3,5-dideoxy-l-glycero-alpha-d-galacto-non-2-ulopyranosonic acid
CC(C)(C)c1ccc(cc1)S(=O)(=O)Nc2ccc(cc2C(=O)c3cc[n+](cc3)[O-])Cl	79K	vercirnon
CC(CO)C(C(Cc1ccccc1)NC(=O)C(Cc2ccc(cc2)OC)NC(=O)C(C)NC(=O)CN3CCOCC3)O	79L	(2~{s})-3-(4-methoxyphenyl)-~{n}-[(2~{s},3~{s},4~{r})-4-methyl-3,5-bis(oxidanyl)-1-phenyl-pentan-2-yl]-2-[[(2~{r})-2-(2-morpholin-4-ylethanoylamino)propanoyl]amino]propanamide
CCCCCCCCC=CCCCCCC(=O)OCC(CO)O	79M	(2r)-2,3-dihydroxypropyl (7z)-hexadec-7-enoate
CCCCCCCCC=CCCCCCC(=O)OCC(CO)O	79N	(2s)-2,3-dihydroxypropyl (7z)-hexadec-7-enoate
c1ccc(c(c1)C2=Nc3c4cc(ccc4oc3C(=O)N2)Br)Cl	79O	8-bromo-2-(2-chlorophenyl)[1]benzofuro[3,2-d]pyrimidin-4(3h)-one
CC(CO)C(C(Cc1ccccc1)NC(=O)C(Cc2c[nH]c3c2cccc3)NC(=O)C(C)NC(=O)CN4CCOCC4)O	79P	(2~{s})-3-(1~{h}-indol-3-yl)-~{n}-[(2~{s},3~{s},4~{r})-4-methyl-3,5-bis(oxidanyl)-1-phenyl-pentan-2-yl]-2-[[(2~{r})-2-(2-morpholin-4-ylethanoylamino)propanoyl]amino]propanamide
c1ccc(cc1)C(=O)Nc2cc(ccc2F)Nc3ccc4c(c3)CCc5ccc(cc5C4=O)C(=O)NCCN6CCOCC6	79Q	3-[(3-benzamido-4-fluoranyl-phenyl)amino]-~{n}-(2-morpholin-4-ylethyl)-11-oxidanylidene-5,6-dihydrodibenzo[1,2-~{d}:1',2'-~{f}][7]annulene-9-carboxamide
CC1CCCCC1n2c3c4cc[nH]c4ncc3nc2c5ccc(o5)C=C(C#N)C(=O)N(C)C	79R	(~{z})-2-cyano-~{n},~{n}-dimethyl-3-[5-[3-[(1~{s},2~{r})-2-methylcyclohexyl]-3,5,8,10-tetrazatricyclo[7.3.0.0^{2,6}]dodeca-1,4,6,8,11-pentaen-4-yl]furan-2-yl]prop-2-enamide
CC1CCCCC1n2c3c4cc[nH]c4ncc3nc2c5ccc(o5)CC(C#N)C(=O)N(C)C	79S	(2~{s})-2-cyano-~{n},~{n}-dimethyl-3-[5-[3-[(1~{s},2~{r})-2-methylcyclohexyl]-3,5,8,10-tetrazatricyclo[7.3.0.0^{2,6}]dodeca-1,4,6,8,11-pentaen-4-yl]furan-2-yl]propanamide
CN(C)C(=O)C(=Cc1ccc(o1)c2nc3cnc4c(c3n2C5CCCCC5)cc[nH]4)C#N	79T	2-cyano-3-[5-(3-cyclohexyl-3,5,8,10-tetrazatricyclo[7.3.0.0^{2,6}]dodeca-1,4,6,8,11-pentaen-4-yl)furan-2-yl]-~{n},~{n}-dimethyl-prop-2-enamide
CN(C)C(=O)c1ccc2c(c1)c(nn2c3ccc(cc3)C(=O)O)Oc4c(cccc4Cl)C(F)(F)F	79U	4-[3-[2-chloranyl-6-(trifluoromethyl)phenoxy]-5-(dimethylcarbamoyl)indazol-1-yl]benzoic acid
c1ccc(c(c1)c2ccc(cc2)C3C(NC3C#N)CO)F	79V	(2r,3s,4r)-3-(2'-fluoro[1,1'-biphenyl]-4-yl)-4-(hydroxymethyl)azetidine-2-carbonitrile
c1cc(cc(c1)C2CC(=O)CS2(=O)=O)C=O	79W	3-[(2s)-1,1-dioxido-4-oxotetrahydrothiophen-2-yl]benzaldehyde
COc1cc-2c(cc1OC)C(=O)n3c2cc4c3ccc(c4)O	79X	2-hydroxy-8,9-dimethoxy-6h-isoindolo[2,1-a]indol-6-one
CS(=O)(=O)N1CCOC(C1)c2csc(n2)c3ccccc3NC(=O)c4[nH]ccn4	79Y	n-(2-{4-[(2s)-4-(methylsulfonyl)morpholin-2-yl]-1,3-thiazol-2-yl}phenyl)-1h-imidazole-2-carboxamide
